"Ecosystem/Croptype","Geolocation","2020 Annual"
"Irrigated Palay","..REGION VII (CENTRAL VISAYAS)",182178.70
"Irrigated Palay","....Bohol",122071.70
"Irrigated Palay","....Cebu",10541.00
"Irrigated Palay","....Negros Oriental",48197.00
"Irrigated Palay","....Siquijor",1369.00
"Irrigated Palay","..REGION VIII (EASTERN VISAYAS)",526967.49
"Irrigated Palay","....Biliran",53609.00
"Irrigated Palay","....Eastern Samar",17161.30
"Irrigated Palay","....Leyte",344454.94
"Irrigated Palay","....Northern Samar",14004.25
"Irrigated Palay","....Samar",20160.00
"Irrigated Palay","....Southern Leyte",77578.00
"Irrigated Palay","..REGION IX (ZAMBOANGA PENINSULA)",402830.39
"Irrigated Palay","....Sulu c/",..
"Irrigated Palay","....Zamboanga del Norte",56354.88
"Irrigated Palay","....Zamboanga del Sur",241648.50
"Irrigated Palay","....Zamboanga Sibugay",82492.27
"Irrigated Palay","....Zamboanga City",22334.74
"Irrigated Palay","..REGION X (NORTHERN MINDANAO)",696721.67
"Irrigated Palay","....Bukidnon",426455.89
"Irrigated Palay","....Camiguin",2133.16
"Irrigated Palay","....Lanao del Norte",166450.79
"Irrigated Palay","....Misamis Occidental",78785.78
"Irrigated Palay","....Misamis Oriental",22896.05
"Irrigated Palay","..REGION XI (DAVAO REGION)",422317.03
"Irrigated Palay","....Davao de Oro (Compostela Valley)",104694.19
"Irrigated Palay","....Davao del Norte",120853.00
"Irrigated Palay","....Davao del Sur",123675.71
"Irrigated Palay","....Davao Occidental",1444.52
"Irrigated Palay","....Davao Oriental",60782.76
"Irrigated Palay","....City of Davao",10866.85
"Irrigated Palay","..REGION XII (SOCCSKSARGEN)",1059750.87
"Irrigated Palay","....Cotabato (North Cotabato)",425231.00
"Irrigated Palay","....Sarangani",32576.89
"Irrigated Palay","....South Cotabato",262462.00
"Irrigated Palay","....Sultan Kudarat",339480.98
"Irrigated Palay","..REGION XIII (CARAGA)",334642.00
"Irrigated Palay","....Agusan del Norte",62796.68
"Irrigated Palay","....Agusan del Sur",150335.00
"Irrigated Palay","....Dinagat Islands",4582.00
"Irrigated Palay","....Surigao del Norte",50304.75
"Irrigated Palay","....Surigao del Sur",66623.57
"Irrigated Palay","....Butuan City",..
"Irrigated Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/",190638.30
"Irrigated Palay","....Basilan",220.18
"Irrigated Palay","....Lanao del Sur",63837.90
"Irrigated Palay","....Maguindanao del Norte",..
"Irrigated Palay","....Maguindanao del Sur",126500.22
"Irrigated Palay","....Sulu",80.00
"Irrigated Palay","....Tawi-tawi",0.00
"Rainfed Palay","PHILIPPINES",4723090.34
"Rainfed Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",60028.93
"Rainfed Palay","....Abra",27323.60
"Rainfed Palay","....Apayao",21131.22
"Rainfed Palay","....Benguet",2729.00
"Rainfed Palay","....Ifugao",1971.52
"Rainfed Palay","....Kalinga",4660.44
"Rainfed Palay","....Mountain Province",2213.15
"Rainfed Palay","..REGION I (ILOCOS REGION)",517550.00
"Rainfed Palay","....Ilocos Norte",52129.00
"Rainfed Palay","....Ilocos Sur",83605.00
"Rainfed Palay","....La Union",61299.00
"Rainfed Palay","....Pangasinan",320517.00
"Rainfed Palay","..REGION II (CAGAYAN VALLEY)",196138.78
"Rainfed Palay","....Batanes",84.00
"Rainfed Palay","....Cagayan",131982.00
"Rainfed Palay","....Isabela",49754.64
"Rainfed Palay","....Nueva Vizcaya",8652.78
"Rainfed Palay","....Quirino",5665.36
"Rainfed Palay","..REGION III (CENTRAL LUZON)",213754.05
"Rainfed Palay","....Aurora",3994.00
"Rainfed Palay","....Bataan",1078.00
"Rainfed Palay","....Bulacan",54502.05
"Rainfed Palay","....Nueva Ecija",89531.50
"Rainfed Palay","....Pampanga",0.00
"Rainfed Palay","....Tarlac",33774.00
"Rainfed Palay","....Zambales",30874.50
"Rainfed Palay","..REGION IV-A (CALABARZON)",81243.39
"Rainfed Palay","....Batangas",8566.50
"Rainfed Palay","....Cavite",1211.00
"Rainfed Palay","....Laguna",1883.82
"Rainfed Palay","....Quezon",68238.00
"Rainfed Palay","....Rizal",1344.07
"Rainfed Palay","..MIMAROPA REGION",317125.22
"Rainfed Palay","....Marinduque",7058.00
"Rainfed Palay","....Occidental Mindoro",93309.00
"Rainfed Palay","....Oriental Mindoro",56284.22
"Rainfed Palay","....Palawan",143627.00
"Rainfed Palay","....Romblon",16847.00
"Rainfed Palay","....Puerto Princesa City",..
"Rainfed Palay","..REGION V (BICOL REGION)",387922.65
"Rainfed Palay","....Albay",29567.25
"Rainfed Palay","....Camarines Norte",37539.85
"Rainfed Palay","....Camarines Sur",166798.00
"Rainfed Palay","....Catanduanes",13049.54
"Rainfed Palay","....Masbate",106421.01
"Rainfed Palay","....Sorsogon",34547.00
"Rainfed Palay","..REGION VI (WESTERN VISAYAS)",1191218.07
"Rainfed Palay","....Aklan",53297.58
"Rainfed Palay","....Antique",119889.00
"Rainfed Palay","....Capiz",247925.61
"Rainfed Palay","....Guimaras",48544.00
"Rainfed Palay","....Iloilo",578057.88
"Rainfed Palay","....Negros Occidental",143504.00
"Rainfed Palay","..NEGROS ISLAND REGION",..
"Rainfed Palay","....Negros Occidental a/",..
"Rainfed Palay","....Negros Oriental b/",..
"Rainfed Palay","....Siquijor b/",..
"Rainfed Palay","....Bacolod City",..
"Rainfed Palay","..REGION VII (CENTRAL VISAYAS)",78345.08
"Rainfed Palay","....Bohol",66761.08
"Rainfed Palay","....Cebu",665.00
"Rainfed Palay","....Negros Oriental",10786.00
"Rainfed Palay","....Siquijor",133.00
"Rainfed Palay","..REGION VIII (EASTERN VISAYAS)",400127.76
"Rainfed Palay","....Biliran",0.00
"Rainfed Palay","....Eastern Samar",33035.20
"Rainfed Palay","....Leyte",117555.36
"Rainfed Palay","....Northern Samar",99618.50
"Rainfed Palay","....Samar",145983.10
"Rainfed Palay","....Southern Leyte",3935.60
"Rainfed Palay","..REGION IX (ZAMBOANGA PENINSULA)",242576.65
"Rainfed Palay","....Sulu c/",..
"Rainfed Palay","....Zamboanga del Norte",52040.52
"Rainfed Palay","....Zamboanga del Sur",92536.35
"Rainfed Palay","....Zamboanga Sibugay",92316.35
"Rainfed Palay","....Zamboanga City",5683.44
"Rainfed Palay","..REGION X (NORTHERN MINDANAO)",85103.31
"Rainfed Palay","....Bukidnon",58241.64
"Rainfed Palay","....Camiguin",0.00
"Rainfed Palay","....Lanao del Norte",21910.90
"Rainfed Palay","....Misamis Occidental",3622.60
"Rainfed Palay","....Misamis Oriental",1328.17
"Rainfed Palay","..REGION XI (DAVAO REGION)",44446.67
"Rainfed Palay","....Davao de Oro (Compostela Valley)",20239.10
"Rainfed Palay","....Davao del Norte",8884.38
"Rainfed Palay","....Davao del Sur",34.00
"Rainfed Palay","....Davao Occidental",920.76
"Rainfed Palay","....Davao Oriental",10583.95
"Rainfed Palay","....City of Davao",3784.48
"Rainfed Palay","..REGION XII (SOCCSKSARGEN)",204365.83
"Rainfed Palay","....Cotabato (North Cotabato)",96533.28
"Rainfed Palay","....Sarangani",6532.39
"Rainfed Palay","....South Cotabato",43881.16
"Rainfed Palay","....Sultan Kudarat",57419.00
"Rainfed Palay","..REGION XIII (CARAGA)",168688.88
"Rainfed Palay","....Agusan del Norte",7696.74
"Rainfed Palay","....Agusan del Sur",119103.44
"Rainfed Palay","....Dinagat Islands",2290.90
"Rainfed Palay","....Surigao del Norte",19191.35
"Rainfed Palay","....Surigao del Sur",20406.45
"Rainfed Palay","....Butuan City",..
"Rainfed Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/",534455.07
"Rainfed Palay","....Basilan",53.32
"Rainfed Palay","....Lanao del Sur",153840.91
"Rainfed Palay","....Maguindanao del Norte",..
"Rainfed Palay","....Maguindanao del Sur",379415.97
"Rainfed Palay","....Sulu",800.00
"Rainfed Palay","....Tawi-tawi",344.87
